Serial Number,Shape Type,X,Y,Width,Height,Rotation,Frame Color,Fill Color,Is Filled
3011,Rectangle,52.67114789907856,174.3735120275204,15.0,15.0,-163.4315342908937,#000000,#00FF00,True
3010,Rectangle,65.45329875680216,188.66266633703015,15.0,15.0,-165.0591834041089,#000000,#00FF00,True
3009,Rectangle,81.81388087896272,191.16095111771375,15.0,15.0,-169.46785635869253,#000000,#00FF00,True
3008,Rectangle,98.42117435560675,194.00876384841177,15.0,15.0,184.65011111331017,#000000,#00FF00,True
3007,Rectangle,115.3324182384253,195.01263740842472,15.0,15.0,176.65395516517998,#000000,#00FF00,True
3006,Rectangle,132.1463971530469,192.53844544501572,15.0,15.0,167.59662890943915,#000000,#00FF00,True
3005,Rectangle,148.69986495391674,187.3788545408297,15.0,15.0,158.44112918171865,#000000,#00FF00,True
3004,Rectangle,164.23096993461377,179.46349317062328,15.0,15.0,148.91640599380915,#000000,#00FF00,True
3003,Rectangle,177.92217202974257,169.54054195480745,15.0,15.0,143.72169779798168,#000000,#00FF00,True
3002,Rectangle,190.38912305234078,158.90485009328847,15.0,15.0,137.20489609747614,#000000,#00FF00,True
3001,Rectangle,202.34505305267817,147.0829304361182,15.0,15.0,129.59723022893812,#000000,#00FF00,True
1399,Rectangle,5.853951682707816,219.6380736808522,10.0,10.0,-20.0,#000000,#00FF00,True
1389,Rectangle,-2.393249634847052,228.80120143156756,10.0,10.0,-117.04403120961568,#000000,#00FF00,True
1388,Rectangle,3.1764681088154703,238.66350619765808,10.0,10.0,-114.12098311944266,#000000,#00FF00,True
1385,Rectangle,11.502031577500418,228.94011420733233,10.0,10.0,-110.52125124159015,#000000,#00FF00,True
1384,Rectangle,15.59145984297777,238.93553608098455,10.0,10.0,-107.08622672886551,#000000,#00FF00,True
1313,Rectangle,-3.349436676707171,200.12747707735014,10.0,10.0,-16.0,#000000,#00FF00,True
1312,Rectangle,112.11174516339031,47.56101786073555,10.0,10.0,-8.0,#000000,#00FF00,True
1311,Rectangle,100.66030772775633,49.26594628434873,10.0,10.0,-12.0,#000000,#00FF00,True
1310,Rectangle,89.85833607023079,51.824307992709805,10.0,10.0,-16.0,#000000,#00FF00,True
1309,Rectangle,21.091639509893696,100.13078407252874,10.0,10.0,38.0,#000000,#00FF00,True
