Serial Number,Shape Type,X,Y,Width,Height,Rotation,Frame Color,Fill Color,Is Filled
2144,Rectangle,101.05362693642905,-3.6881319337699097,10.0,10.0,47.87278351251606,#000000,#808080,True
2145,Rectangle,108.99493933968279,4.839162183950975,10.0,10.0,39.7303469173078,#000000,#808080,True
2146,Rectangle,118.946641869409,11.434658980357199,10.0,10.0,26.652126762795238,#000000,#808080,True
2147,Rectangle,129.39434081895894,16.471699185478087,10.0,10.0,19.85013135127972,#000000,#808080,True
2148,Rectangle,140.6613123869986,20.92307639500507,10.0,10.0,23.081346342441194,#000000,#808080,True
2152,Rectangle,90.83560588419243,2.322848652422749,10.0,10.0,49.1670555226311,#000000,#808080,True
2153,Rectangle,98.89869296100994,10.280910590951407,10.0,10.0,41.86745917638739,#000000,#808080,True
2154,Rectangle,108.67654909954268,17.929732018891514,10.0,10.0,34.49851499134866,#000000,#808080,True
2155,Rectangle,123.8347610131404,26.04509690496593,10.0,10.0,16.56505117707775,#000000,#808080,True
2229,Rectangle,117.60214755134689,-2.9291716711185245,10.0,10.0,38.5212163297047,#000000,#808080,True
2230,Rectangle,127.59242127902729,2.8408012101854183,10.0,10.0,29.75813314108406,#000000,#808080,True
2231,Rectangle,138.40561341737128,7.589621800204327,10.0,10.0,21.030709677377306,#000000,#808080,True
2232,Rectangle,148.83352047037408,12.174154727819996,10.0,10.0,26.359613837666075,#000000,#808080,True
2237,Rectangle,145.4585526632759,-2.4213671173456532,10.0,10.0,24.08639288996105,#000000,#808080,True
2238,Rectangle,155.94456929887565,1.4654137304672759,10.0,10.0,18.0,#000000,#808080,True
2277,Rectangle,71.65770135034029,-4.930455466578792,10.0,10.0,48.26926833641005,#000000,#808080,True
2278,Rectangle,77.95411068825587,4.30385081499287,10.0,10.0,49.44060893590482,#000000,#808080,True
2279,Rectangle,84.28747687499776,13.319887326611251,10.0,10.0,47.4506424829363,#000000,#808080,True
3890,Rectangle,27.682070036084554,-5.604683063442053,15.0,15.0,34.07490281249123,#000000,#808080,True
3891,Rectangle,41.28844730002237,3.4082413313570896,15.0,15.0,35.93412148788614,#000000,#808080,True
3892,Rectangle,54.907895278651495,12.728472487342515,15.0,15.0,34.69904404319907,#000000,#808080,True
3893,Rectangle,68.51492812137508,21.553401654380878,15.0,15.0,29.847434191349105,#000000,#808080,True
3894,Rectangle,82.95226847193345,29.11228102504083,15.0,15.0,26.911017507331792,#000000,#808080,True
3918,Rectangle,58.2377060280387,-0.26463688802914476,10.0,10.0,34.0,#000000,#808080,True
3919,Rectangle,67.70382783630498,4.470117223081388,5.0,10.0,35.0,#000000,#808080,True
3920,Rectangle,73.57466180867186,10.765982702631845,5.0,10.0,-49.0,#000000,#808080,True
3921,Rectangle,93.69982615663378,18.66289909511886,5.0,10.0,45.0,#000000,#808080,True
3922,Rectangle,99.00849850588202,22.273864015332947,5.0,10.0,35.0,#000000,#808080,True
3923,Rectangle,106.81870807480487,26.31179549314345,5.0,10.0,109.0,#000000,#808080,True
3924,Rectangle,117.16352537681934,25.342431694763604,5.0,10.0,27.0,#000000,#808080,True
179,Triangle,135.1072204582365,31.32201049328114,10.0,10.0,38.0,#000000,#808080,True
180,Triangle,151.75149097345468,26.321843247251422,10.0,10.0,26.0,#000000,#808080,True
3998,Rectangle,99.91868496165733,35.06773036124605,10.0,10.0,18.0,#000000,#808080,True
3999,Rectangle,111.7832257995936,37.01806584145493,10.0,10.0,4.0,#000000,#808080,True
4000,Rectangle,125.4976548107935,36.04289810135083,5.0,10.0,87.0,#000000,#808080,True
4001,Rectangle,136.25960897983896,34.914353683791774,5.0,10.0,85.0,#000000,#808080,True
