Serial_Number,Type,X,Y,Width,Height,Rotation,Frame_Color,Fill_Color,Is_Filled
3947,Small,356.97407683861434,694.1505340476626,5.0,5.0,-52.0,#1d1c21,#d9505b,True
3945,Small,342.64342500626674,679.7832590477252,15.0,15.0,50.47679280827937,#1d1c21,#d9505b,True
3944,Small,331.90922762584984,667.1233597688115,15.0,15.0,51.80557109225577,#1d1c21,#d9505b,True
3943,Small,322.34994984579754,654.0710728409824,15.0,15.0,55.66193997660601,#1d1c21,#d9505b,True
3942,Small,312.906015142407,640.6398101398541,15.0,15.0,54.37273084597599,#1d1c21,#d9505b,True
3941,Small,303.90445894867435,627.7125900958047,15.0,15.0,54.53909185325859,#1d1c21,#d9505b,True
3940,Small,294.2085472636127,614.6438612089424,15.0,15.0,56.278978517273174,#1d1c21,#a21818,True
3939,Small,284.6741803962261,601.5794067057108,15.0,15.0,57.425942865427494,#1d1c21,#d9505b,True
3938,Small,275.49914570293464,586.9910004404917,15.0,15.0,59.267118428599595,#1d1c21,#a21818,True
3937,Small,267.2475491998742,572.6432807126163,15.0,15.0,64.04391557616444,#1d1c21,#a21818,True
3936,Small,260.0171808437946,558.2617843479628,15.0,15.0,67.1718192438764,#1d1c21,#d9505b,True
3935,Small,253.79306521694923,543.133805877375,15.0,15.0,70.32938734868199,#1d1c21,#653979,True
3934,Small,248.73676046059586,527.7823265572381,15.0,15.0,72.4287412216777,#1d1c21,#653979,True
3933,Small,248.64196542127013,519.7006402208999,5.0,10.0,71.0,#1d1c21,#a21818,True
181,Triangle,243.2584715664726,511.02609803074324,10,10,-104.0,#1d1c21,#2f563c,True
3932,Small,351.11337252448453,697.4111301776221,5.0,10.0,41.0,#1d1c21,#d9505b,True
3931,Small,343.53971352558415,705.6483556674439,5.0,10.0,45,#1d1c21,#d9505b,True
3930,Small,347.26574793674314,712.524871285739,10.0,10.0,40.0,#1d1c21,#d9505b,True
3929,Small,356.3359165926703,721.7770663147788,10.0,10.0,36.0,#1d1c21,#d9505b,True
3928,Small,365.4748111274446,727.6261093086848,10.0,10.0,34.0,#1d1c21,#d9505b,True
3927,Small,374.99804057078137,731.8662034635553,15.0,15.0,36.0,#1d1c21,#d9505b,True
180,Triangle,516.2335682307361,795.2216061073774,10,10,26.0,#1d1c21,#d9505b,True
179,Triangle,499.5892977155179,800.2217733534071,10,10,38.0,#1d1c21,#2f563c,True
3924,Small,481.6456026341007,794.2421945548896,5.0,10.0,27.0,#1d1c21,#d9505b,True
3923,Small,471.30078533208626,795.2115583532694,5.0,10.0,109.0,#936eac,#d9505b,True
3922,Small,463.4905757631634,791.1736268754589,5.0,10.0,35.0,#936eac,#d9505b,True
3921,Small,458.18190341391517,787.5626619552448,5.0,10.0,45,#936eac,#e87d46,True
