Serial_Number,Type,X,Y,Width,Height,Rotation,Frame_Color,Fill_Color,Is_Filled
29,Triangle,353.9252317086627,462.9414046055609,10,10,-52.0,#000000,,False
28,Triangle,292.3152047535208,411.7830089142094,10,10,-104.0,#f5f5dc,,False
810,Small,269.9074776032334,409.8933258114812,5.0,5.0,-6.0,#f5f5dc,,False
809,Small,261.30486363885973,408.7451651487399,5.0,10.0,79.0,#f5f5dc,,False
808,Small,252.50072234109655,409.92037512633834,5.0,10.0,-13.0,#f5f5dc,,False
807,Small,241.12159198977923,413.7558790790693,10.0,10.0,-30.0,#f5f5dc,,False
806,Small,230.65479157932594,418.8921318906853,10.0,10.0,-36.0,#f5f5dc,,False
805,Small,222.24396982092594,426.1815107479653,10.0,10.0,-42.0,#f5f5dc,,False
796,Small,213.46272002821647,451.7228846536445,10.0,10.0,125.11406578526689,#f5f5dc,,False
795,Small,220.52760976561703,443.5222328006761,10.0,10.0,128.87024854433912,#f5f5dc,,False
794,Small,228.6001691499576,435.2699376251297,10.0,10.0,138.18788741534442,#f5f5dc,,False
793,Small,237.63860134073803,427.8572531257222,10.0,10.0,147.14341946550016,#f5f5dc,,False
792,Small,247.65583949067127,422.9110407464432,10.0,10.0,155.22513099536434,#f5f5dc,,False
791,Small,258.573429645526,418.53150237756176,10.0,10.0,160.61141254236995,#f5f5dc,,False
790,Small,269.8817658098787,415.5019476993669,10.0,10.0,166.21207636042982,#f5f5dc,,False
789,Small,280.61827037014075,412.8743343242715,10.0,10.0,166.8983912126661,#f5f5dc,,False
787,Small,221.87015552055257,458.70335488044526,10.0,10.0,40.0,#f5f5dc,,False
786,Small,225.23448422391255,473.6559268953786,10.0,10.0,52.0,#f5f5dc,,False
785,Small,202.92392981614358,441.24384828564826,5.0,10.0,-13.0,#f5f5dc,#000000,True
784,Small,206.5984749237832,431.4921708846047,5.0,10.0,-13.0,#f5f5dc,#000000,True
783,Small,210.97966332135329,424.7083953012701,5.0,10.0,151.0,#f5f5dc,#000000,True
781,Small,313.78470390666945,414.17491978594177,5.0,10.0,115.0,#f5f5dc,,False
780,Small,214.92707714311345,417.17513805727725,10.0,10.0,139.37081628372485,#f5f5dc,#000000,True
778,Small,224.17095256130702,409.78018979957875,10.0,10.0,148.3435136923486,#f5f5dc,#000000,True
777,Small,234.57221622384398,404.7844112720435,10.0,10.0,156.50253125046277,#f5f5dc,#000000,True
776,Small,246.24720133508703,399.9196080555983,10.0,10.0,168.27950311628712,#f5f5dc,#000000,True
775,Small,257.36067067174923,400.17878840426096,10.0,10.0,173.9043176417541,#f5f5dc,#000000,True
774,Small,268.6314220356741,398.7487047333429,10.0,10.0,-177.37417153767618,#f5f5dc,,False
773,Small,279.73080542739734,400.68361607919815,10.0,10.0,-171.32907191218754,#f5f5dc,,False
772,Small,291.55414611520007,403.75245200464775,10.0,10.0,-157.905476328162,#f5f5dc,,False
771,Small,301.49662716354965,409.38729992182846,10.0,10.0,-147.7271306441772,#f5f5dc,,False
761,Small,199.4629337330447,417.170055917916,10.0,10.0,135.02745959187152,#f5f5dc,,False
760,Small,207.4456583103731,408.7536369453055,10.0,10.0,134.97435903545252,#f5f5dc,,False
759,Small,215.84476795444118,400.7531519104455,10.0,10.0,142.07555904168223,#f5f5dc,,False
758,Small,226.2027521574526,395.703295209743,10.0,10.0,150.45706329248029,#f5f5dc,,False
757,Small,236.9650098904295,391.3786025122928,10.0,10.0,155.21312098187724,#f5f5dc,,False
756,Small,248.40961123330058,388.4074327081875,10.0,10.0,171.40588682534738,#f5f5dc,,False
755,Small,259.86269294611844,387.9640994009027,10.0,10.0,178.60516660491518,#f5f5dc,,False
754,Small,271.4608394612019,387.9824464427306,10.0,10.0,-177.05493824584593,#f5f5dc,,False
753,Small,283.0142382011279,389.9842329893122,10.0,10.0,-170.26503830488866,#f5f5dc,,False
752,Small,294.2136567744956,392.64608402712133,10.0,10.0,-158.26310220954392,#f5f5dc,,False
751,Small,304.8465241208011,398.0662614667464,10.0,10.0,-148.63672124314704,#f5f5dc,,False
750,Small,314.0807285035956,405.0860961681976,10.0,10.0,-142.6424050839918,#f5f5dc,,False
749,Small,323.53332256881555,412.35581810544284,10.0,10.0,-140.3198029609645,#f5f5dc,,False
748,Small,331.49050520732766,421.20002937677685,10.0,10.0,-126.6734293989322,#f5f5dc,,False
747,Small,337.57475565469673,430.86287934219826,10.0,10.0,-133.27811156720142,#f5f5dc,,False
746,Small,345.12834727164415,439.16253967638636,10.0,10.0,-127.1761913608662,#f5f5dc,,False
745,Small,353.9115033855869,447.1740350838721,10.0,10.0,-122.38560161518151,#f5f5dc,,False
744,Small,359.6478805819472,457.8357656260871,10.0,10.0,-108.65732564577327,#f5f5dc,,False
742,Small,361.0625611797785,480.0075347175548,10.0,10.0,-104.09504383593413,#f5f5dc,,False
741,Small,345.33079621080833,455.1950276696723,10.0,10.0,-42.0,#f5f5dc,,False
27,Triangle,328.05867450949245,428.6997754735556,10,10,-72.0,#f5f5dc,,False
728,Small,229.74028298633115,450.48433963498996,10.0,10.0,133.16170336086046,#f5f5dc,,False
727,Small,238.14666884145078,442.0345579022291,10.0,10.0,144.0449575075824,#f5f5dc,,False
726,Small,247.39759794607014,435.06203751902973,10.0,10.0,152.72024696427664,#f5f5dc,,False
725,Small,257.6112934698154,430.5110303324085,10.0,10.0,157.99051632375074,#f5f5dc,,False
724,Small,269.3634140059146,427.4417115058339,10.0,10.0,162.6889022133051,#f5f5dc,,False
723,Small,280.5808613831135,424.30390593869004,10.0,10.0,168.8881470803847,#f5f5dc,,False
722,Small,292.4177727854955,423.1994514379583,10.0,10.0,174.362093632618,#f5f5dc,,False
721,Small,304.8669006034251,422.55253678966164,10.0,10.0,-175.90224500774104,#f5f5dc,,False
720,Small,316.273496403851,424.5130756073762,10.0,10.0,-168.85640618081445,#f5f5dc,,False
1,Small,545.5623475684847,391.6833349232266,10.0,5.0,-168.5627437810924,#000000,#000000,True
2,Small,534.5696658855919,388.92501815044875,10.0,5.0,-161.63017145672114,#000000,#000000,True
3,Small,523.8777114737809,385.61138110797697,10.0,5.0,-160.00847224148293,#000000,#000000,True
4,Small,513.1084923894476,381.5894992382272,10.0,5.0,-169.05123957567875,#000000,#000000,True
5,Small,501.4468875852188,379.5006823826963,10.0,5.0,-172.70714589019195,#000000,#000000,True
6,Small,490.09301009819103,378.33395538712966,10.0,5.0,-176.42366562500268,#000000,#000000,True
7,Small,478.48810092621324,378.37356073686215,10.0,5.0,173.48990363988446,#000000,#000000,True
8,Small,467.672460695321,381.69729134373915,10.0,5.0,146.31184872754866,#000000,#000000,True
9,Small,458.64294453888675,387.96392908579776,10.0,5.0,145.43494882292208,#000000,#000000,True
10,Small,450.21411255980985,395.06474274058206,10.0,5.0,136.5810107799608,#000000,#000000,True
11,Small,443.07851198770834,403.7318608394139,10.0,5.0,122.9885216136345,#000000,#000000,True
12,Small,438.16813239008764,414.0889339394374,10.0,5.0,119.1597835625755,#000000,#000000,True
31,Small,541.3166137915313,398.45525669541667,10.0,5.0,168.92786712748568,#000000,#000000,True
32,Small,528.9596906473071,400.06612060909856,10.0,5.0,-171.8829509933982,#000000,#000000,True
33,Small,517.8007590241934,398.87545468064314,10.0,5.0,-172.3718503314195,#000000,#000000,True
34,Small,506.4023165566902,397.43079582720753,10.0,5.0,-171.34382430392958,#000000,#000000,True
35,Small,495.1311499342706,395.33736970937593,10.0,5.0,-175.76984929197073,#000000,#000000,True
36,Small,483.7978506230178,394.9362435031108,10.0,5.0,175.9384773226893,#000000,#000000,True
37,Small,472.63543740734775,395.4976573207089,10.0,5.0,176.50063396264238,#000000,#000000,True
38,Small,463.1083518357369,401.48981907699556,10.0,5.0,136.6405722139117,#000000,#000000,True
39,Small,454.19214481697543,408.3012093929786,10.0,5.0,144.32766335428937,#000000,#000000,True
40,Small,445.20272427805867,414.9348434827402,10.0,5.0,120.55963942196223,#000000,#000000,True
41,Small,529.39036506727,393.86805530944895,5.0,5.0,6.0,#000000,#000000,True
42,Small,517.0796822986097,392.6506309835969,5.0,5.0,6.0,#000000,#000000,True
43,Small,538.8795277560679,408.6685416798882,10.0,5.0,57.54792255659555,#000000,#000000,True
44,Small,526.121034116796,414.60298522958715,10.0,5.0,141.92478766285805,#000000,#000000,True
45,Small,517.6230556677017,421.5244836150852,10.0,5.0,145.17551084304304,#000000,#000000,True
46,Small,508.5470452460736,428.0165186184449,10.0,5.0,147.11738518964572,#000000,#000000,True
47,Small,498.41810873688246,432.4972828132418,10.0,5.0,157.17105416636022,#000000,#000000,True
48,Small,487.5762564002293,435.3810480232643,10.0,5.0,170.3152789884456,#000000,#000000,True
49,Small,476.4341609979863,436.09419430995206,10.0,5.0,182.9217471588358,#000000,#000000,True
50,Small,534.8870992911422,409.37836184617845,5.0,5.0,-40.0,#ffc0cb,#000000,True
51,Small,533.2845981860896,418.7645697022277,5.0,5.0,-38.0,#ffc0cb,#000000,True
52,Small,528.7141266117226,422.7332183304798,5.0,5.0,-38.0,#ffc0cb,#000000,True
53,Small,520.1648968389115,429.2362096405894,5.0,10.0,-33.0,#ffc0cb,#000000,True
54,Small,504.055040819068,437.8992621807288,5.0,10.0,-15.0,#ffc0cb,#000000,True
1,Triangle,527.9193018914692,405.9548067664415,10.0,10.0,6.0,#000000,,False
59,Small,517.1824888004106,405.02120625631284,10.0,10.0,4.0,#000000,,False
60,Small,511.57362461786147,404.45589162436863,5.0,10.0,5.0,#000000,,False
61,Small,509.0859522124075,415.5599475131389,5.0,10.0,19.0,#000000,,False
