Serial_Number,Type,X,Y,Width,Height,Rotation,Frame_Color,Fill_Color,Is_Filled
5182,Small,379.8165025078405,400.9306618103851,10.0,10.0,-28.0,#1d1c21,,False
265,Triangle,385.1962612034978,398.71615012274697,10,10,106.0,#1d1c21,,False
264,Triangle,393.8430884520008,411.34303123116354,10,10,104.0,#1d1c21,,False
5180,Small,385.6951487515669,411.22502268372443,10.0,10.0,-30.0,#1d1c21,,False
5179,Small,390.3767583853475,421.1732107087934,10.0,10.0,-32.0,#1d1c21,,False
263,Triangle,396.07151440201693,431.54139489912137,10,10,-38.0,#1d1c21,,False
262,Triangle,402.2866622318266,447.70269320844807,10,10,-108.0,#1d1c21,,False
5177,Small,401.7246192068029,435.2571989328369,15.0,15.0,10.0,#1d1c21,,False
5176,Small,403.16991490723603,418.56062822568913,15.0,15.0,8.0,#1d1c21,,False
260,Triangle,407.86515823006243,458.0068409798159,10,10,-28.0,#1d1c21,,False
5175,Small,419.3733070052717,430.70000122830356,10.0,10.0,4.0,#936eac,,False
259,Triangle,410.87185872141623,467.9910715646618,10,10,-110.0,#936eac,,False
5174,Small,416.55839725837734,478.12110481670896,10.0,10.0,-14.0,#936eac,,False
5173,Small,421.91299103341765,486.5702001711085,5.0,10.0,83.0,#936eac,,False
5172,Small,422.84753169862597,494.884684039134,5.0,10.0,-7.0,#936eac,,False
5171,Small,441.6164127571361,538.1181442664039,5.0,10.0,97.0,#1d1c21,,False
5170,Small,430.8180874052909,536.5956249352253,5.0,10.0,95.0,#1d1c21,,False
5169,Small,452.2314439134946,539.1005836210903,5.0,10.0,97.0,#1d1c21,,False
257,Triangle,567.2868763281633,483.408930435762,10,10,-36.0,#1d1c21,,False
5168,Small,460.0539498911315,544.0059048060602,10.0,10.0,28.0,#1d1c21,,False
256,Triangle,472.7055408495952,545.1490168179042,10,10,88.0,#1d1c21,,False
255,Triangle,484.6743950608973,545.1490168179042,10,10,10.0,#1d1c21,,False
254,Triangle,544.7018514115508,612.9701515182043,10,10,-94.0,#1d1c21,,False
253,Triangle,521.8460577648164,590.1514041641468,10,10,24.0,#1d1c21,,False
252,Triangle,538.6885424872909,529.1135524656601,10,10,-158.0,#1d1c21,,False
251,Triangle,506.8256404433347,541.9064311666745,10,10,-18.0,#1d1c21,,False
250,Triangle,521.8381696587808,533.0232059609165,10,10,-150.0,#1d1c21,,False
5167,Small,515.6702259395956,556.0434131192358,5.0,10.0,115.0,#1d1c21,,False
5166,Small,512.3799855629253,542.4954134319022,15.0,15.0,22.0,#1d1c21,,False
249,Triangle,510.4600959501197,564.5509918884642,10,10,122.0,#1d1c21,,False
5165,Small,518.7699371820611,571.4723234616795,15.0,15.0,26.0,#1d1c21,,False
